Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Serviço População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ;  ;  ; Indígena ;  ;  ; 49544.35078398 ; 22354.75710503 ; 26199.04456177 ; 14.6733879843452 ; 45.120698427354 ; 52.8799835848114 ; 1242.24157115736 ; 9.67093034069745 
PNADC_012022 ; Ceará ;  ;  ; Parda ; Sim ; Trabalhador doméstico ; 19681.39355906 ; 19681.39355906 ; 19681.39355906 ; 0 ; 100 ; 100 ; 1490.69682056443 ; 9.68021033540159 
PNADC_012022 ; Ceará ;  ;  ; Parda ; Sim ;  ; 574815.88360401 ; 574815.88360401 ; 574815.88360401 ; 0 ; 100 ; 100 ; 1847.00512651295 ; 11.6397205155212 
PNADC_012022 ; Ceará ;  ;  ; Parda ; Não ; Trabalhador doméstico ; 146531.71820046 ; 146531.71820046 ; 146531.71820046 ; 0 ; 100 ; 100 ; 623.631158635302 ; 8.60127154497593 
PNADC_012022 ; Ceará ;  ;  ; Parda ; Não ;  ; 700720.28038628 ; 700720.28038628 ; 700720.28038628 ; 0 ; 100 ; 100 ; 1079.07410773522 ; 10.0980194806408 
PNADC_012022 ; Ceará ;  ;  ; Parda ;  ; Trabalhador doméstico ; 166213.11175952 ; 166213.11175952 ; 166213.11175952 ; 0 ; 100 ; 100 ; 726.934405360334 ; 8.73392823065641 
PNADC_012022 ; Ceará ;  ;  ; Parda ;  ;  ; 4846341.68514879 ; 2163760.52521835 ; 2432988.24439171 ; 11.0657221543901 ; 44.6472961625676 ; 50.2025734555077 ; 1654.96490296211 ; 9.70620435153303 
PNADC_012022 ; Ceará ;  ;  ; Preta ; Sim ; Trabalhador doméstico ; 2053.09757267 ; 2053.09757267 ; 2053.09757267 ; 0 ; 100 ; 100 ; 1342.01889221521 ; 7.43033636720977 
PNADC_012022 ; Ceará ;  ;  ; Preta ; Sim ;  ; 72526.54194019 ; 72526.54194019 ; 72526.54194019 ; 0 ; 100 ; 100 ; 1927.96071352607 ; 11.8774488936982 
PNADC_012022 ; Ceará ;  ;  ; Preta ; Não ; Trabalhador doméstico ; 19094.5226214 ; 19094.5226214 ; 19094.5226214 ; 0 ; 100 ; 100 ; 706.264197546395 ; 8.62536085205289 
PNADC_012022 ; Ceará ;  ;  ; Preta ; Não ;  ; 72942.33863806 ; 72942.33863806 ; 72942.33863806 ; 0 ; 100 ; 100 ; 1472.88275017614 ; 10.1556003031775 
